merchant,brand,name,description,current_price,pre_price_text,price_text,sku,flyer_valid_from,flyer_valid_to,image_url
Food Basics,KIKKOMAN,KIKKOMAN SOY SAUCE,"591 ML
SELECTED VARIETIES",4.98,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269660/2bd15a92-8df8-11ed-bd7a-0e7faade0358/x_large
Food Basics,RIBENA,RIBENA BLACKCURRANT BEVERAGE,"850 ML
SELECTED VARIETIES",8.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269659/2dec0408-8df8-11ed-b20a-0efae983d694/x_large
Food Basics,THAI,THAI KITCHEN CURRY PASTE,"112 G
SELECTED VARIETIES",3.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269660/2b5e68ac-8df8-11ed-bd7a-0e7faade0358/x_large
Food Basics,WING'S,WING'S CHOW MEIN NOODLES,"150 G
SELECTED VARIETIES",1.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269660/2a31889c-8df8-11ed-bd7a-0e7faade0358/x_large
Food Basics,MARUKAN,MARUKAN RICE VINEGAR,"355 ML
SELECTED VARIETIES",3.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686356/1673467619/extra_large.jpg
Food Basics,KIKKOMAN,KIKKOMAN TERIYAKI SAUCE,"591 ML
SELECTED VARIETIES",4.98,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269660/2aa2947e-8df8-11ed-bd7a-0e7faade0358/x_large
Food Basics,HUY FONG SRIRACHA,HUY FONG SRIRACHA SAUCE,"714 ML
SELECTED VARIETIES",4.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269660/2a9c6130-8df8-11ed-bd7a-0e7faade0358/x_large
Food Basics,Y & Y,Y & Y NOODLES,"454 G
SELECTED VARIETIES",1.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269660/2b01766a-8df8-11ed-bd7a-0e7faade0358/x_large
Food Basics,WING'S,WING'S SALAD NOODLES,"150 G
SELECTED VARIETIES",1.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686359/1673467627/extra_large.jpg
Food Basics,SAMYANG,SAMYANG RAMEN NOODLES,"120 G
SELECTED VARIETIES",1.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269659/2e945054-8df8-11ed-b20a-0efae983d694/x_large
Food Basics,NONGSHIM,"NONGSHIM NOODLES, CUPS OR BOWLS","75 - 120 G
SELECTED VARIETIES",1.48,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686361/1673467629/extra_large.jpg
Food Basics,GRACE,GRACE PEANUT PUNCH OR ISLAND SODA,"240 - 355 ML
SELECTED VARIETIES",0.98,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269659/30426da0-8df8-11ed-b20a-0efae983d694/x_large
Food Basics,CARNATION,CARNATION EVAPORATED MILK,"354 ML
SELECTED VARIETIES",5.0,3/,,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269659/2f350ba2-8df8-11ed-b20a-0efae983d694/x_large
Food Basics,RIBENA,RIBENA BLACKCURRANT BEVERAGE,"850 ML
SELECTED VARIETIES",8.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269659/2dec0408-8df8-11ed-b20a-0efae983d694/x_large
Food Basics,OVALTINE,OVALTINE COOKIES,"150 G
SELECTED VARIETIES",5.0,4/,,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269659/2d18b2a6-8df8-11ed-b20a-0efae983d694/x_large
Food Basics,GRACE,GRACE COCONUT OIL OR COCONUT SUGAR,"500 ML

500 G
SELECTED VARIETIES",5.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686367/1673467633/extra_large.jpg
Food Basics,TRIPLE LEAF,TRIPLE LEAF TEA,"20's
SELECTED VARIETIES",3.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686368/1673467633/extra_large.jpg
Food Basics,CASABLANCA,CASABLANCA BASIL DRINKS,"290 ML
SELECTED VARIETIES",5.0,4/,,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269659/2d576082-8df8-11ed-b20a-0efae983d694/x_large
Food Basics,OKF,OKF ALOE DRINKS,"1.5 L
SELECTED VARIETIES",3.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269659/2f8e473a-8df8-11ed-b20a-0efae983d694/x_large
Food Basics,GLICO,GLICO POCKY,"32 - 40 G
SELECTED VARIETIES",5.0,4/,,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15269659/2d1eb246-8df8-11ed-b20a-0efae983d694/x_large
Food Basics,Y&Y,Y&Y RICE FLOUR,"400 G
SELECTED VARIETIES",1.98,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686372/1673467637/extra_large.jpg
Food Basics,HIME,HIME ICE CREAM,"1 L
SELECTED VARIETIES",5.88,,EACH,,2023-01-12T00:00:00-05:00,2023-01-18T23:59:59-05:00,http://f.wishabi.net/page_items/283686373/1673467638/extra_large.jpg
