product_name,price
PALMOLIVE Dishwashing Soap,$2.50 with Scene+ Card
CLOROX Bleach,$4.99 
AIR WICK Plug-In Scented Oil Refills,$9.99 
TIDE Pods,$29.99 
Carlton Card,$29.99 
GLAD Garbage Bags,$11.99 
CHARMIN Bathroom Tissue,STARTING AT$18.99 
COMPLIMENTS Greencare Bathroom Tissue,STARTING AT$18.99 
IAMS Dry Dog Food,$28.99 
PEDIGREE Wet Dog Food,$1.79 
GREENIES Cat Treats,$7.99 
COMPLIMENTS Dry Cat Food,$9.79 
SECRET Fresh or Outlast,$6.49 
ALWAYS or TAMPAX Period Care,$5.49 
BABY GOURMET Fruit or Veggie Purées,3/$4.98 
ENFAMIL A + Ready To Feed Formula,$56.99 
SOFTSOAP Liquid Hand Soap Refill,$7.99 
"CREST Pro Health 3D White Toothpaste, ORAL-B Toothbrushes, Floss",$3.99 
NESTLÉ Gerber Snacks,$2.79 ea when you buy 3 or more
LISTERINE Total Care or Ultra Clean,$8.00 ea when you buy 2 or more
HERBAL ESSENCES Hair Care,$3.49 
HELLO BELLO Wipes,$22.99 
COLD-FX,$22.99 
ADVIL Tablets,$22.99 
BOOST Meal Replacement,$11.99 
BAND-AID Premium Bandages,$11.99 
POLYSPORIN,$11.99 
CONTOUR Blood Glucose Test Strips,$79.99 
HONEST CO. Baby Toiletries,$79.99 
NESTLÉ Gerber Cereal,$4.99 
Sourdough Artisan Bread,$3.99 EA WHEN YOU BUY 2 OR MORE
Tuscan Sourdough Artisan Bread,$3.99 ea when you buy 2 or more
Prairie Harvest Grain Artisan Bread,$3.99 ea when you buy 2 or more
Flax Seed Artisan Bread,$3.99 ea when you buy 2 or more
Belgian Artisan Bread,$3.99 EA WHEN YOU BUY 2 OR MORE
Artisan Style Baguettes,$2.29 
Focaccia Breads,$3.99 
"Party Pack Wings, Flings or Strips",$17.99 
Crispy Chicken,$14.99 
Whole BBQ Chicken Dagwood,$13.99 
Deviled Eggs,$13.99 
GARDEN FRESH Salsa,$13.99 
Easy Entertaining Dips,$13.99 
Take & Bake Pizzas,$13.99 
COMPLIMENTS Guacamole,$13.99 
PANACHE Italian Cheese,STARTING AT$6.99 
MISTO ITALIANO,$11.00 
BOURSIN Truffle Cheese,$7.79 
SNOWDONIA Truffle Cheese,$11.99 
MARCANGELO Discover Italy Amore Premium Italian Sliced Deli Meats,$6.49 ea when you buy 2 or more
"PILLER'S Peppered, Tuscan or Honey Bourbon Salami",$4.49 /100 g
MARCANGELO DOP Prosciutto,$5.99 /100g
PARMA Prosciutto di Parma PDO/DOP,$9.99 
PRANA ORGANIC Superseeds,$4.99 
PRANA ORGANIC Chia Seeds,$6.99 
SWERVE Sugar Replacement Granula,$10.49 
ENJOY LIFE Chocolate Chips,$5.99 
JUST PLANT Egg Alternative,$5.49 
NUTS FOR CHEESE Plant-based Cheese,$9.99 
NUTS FOR BUTTER Plant-Based Butter Sticks,$7.99 
SPREAD'EM Kitchen Cashew Cream Cheeze,$7.99 
BOB'S RED MILL Coconut ORGANIC or Almond Flour,STARTING AT$7.59 
BLUE Santa Snacks or Dog Treats,$6.49 
COOKIE PAL Dog Biscuits,$8.99 
GREENIES Dental Treats,$8.99 
BLUE Bursts Filled Cat Treats,2/$10.00 
LILY & JAX Dog Food,$14.99 
TEMPTATIONS Cat Treats,$1.99 
ORGANIC Fairtrade Bananas,$1.19 /lb 2.62/kg
Festive Sausages,$5.99 ea
Compliments Mint-flavoured Baking Chips,$2.99 
Compliments Red Velvet Cake Mix (500 g); Lemon Square Mix (500 g); Shortbread Cookie Mix (500 g); Deluxe Brownie Mix (500 g),Only$2.99 each
,Only$2.99 each
