category,brand,product,product_name,price,per_unit_price
seafood,President's Choice,Scottish Atlantic Salmon Double Smoked ,President's ChoiceScottish Atlantic Salmon Double Smoked 150 g,$11.99ea,$7.99/ 100g
seafood,President's Choice,Pacific White Shrimp Platter with Mild Cocktail Sauce,President's ChoicePacific White Shrimp Platter with Mild Cocktail Sauce568 g,$19.99ea,$3.52/ 100g
seafood,Seaquest,Tilapia Fillets,SeaquestTilapia Fillets400 g,$8.99ea,$2.25/ 100g
seafood,Seaquest,Salad Shrimp,SeaquestSalad Shrimp454 g,$10.99ea,$2.42/ 100g
seafood,Seaquest,Crab Flakes,SeaquestCrab Flakes454 g,$5.99ea,$1.32/ 100g
seafood,Seaquest,Pink Salmon Fillets,SeaquestPink Salmon Fillets400 g,$10.99ea,$2.75/ 100g
seafood,Seaquest,Pink Salmon Fillets,SeaquestPink Salmon Fillets1 kg,$17.99ea,$1.80/ 100g
seafood,High Liner,Pink Salmon,High LinerPink Salmon400 g,$10.99ea,$2.75/ 100g
seafood,Seaquest,Shrimp Ring,SeaquestShrimp Ring454 g,$14.99ea,$3.30/ 100g
seafood,Seaquest,Wild Haddock Fillets Club Size ,SeaquestWild Haddock Fillets Club Size 1 kg,$17.99ea,$1.80/ 100g
seafood,PC Blue Menu,"Wild Nova Scotian Sea Scallops, Frozen","PC Blue MenuWild Nova Scotian Sea Scallops, Frozen400 g",$25.99ea,$6.50/ 100g
seafood,President's Choice,Bacon-Wrapped Wild Sea Scallops,President's ChoiceBacon-Wrapped Wild Sea Scallops260 g,$15.99ea,$6.15/ 100g
seafood,Seaquest,King Crab Flavoured Wild Alaska Pollock Chunks,SeaquestKing Crab Flavoured Wild Alaska Pollock Chunks227 g,$3.99ea,$1.76/ 100g
seafood,,Mussels,Mussels907 g,$6.99ea,$0.77/ 100g
seafood,Premier,Wild Crab Blue Swimming Crab Meat,PremierWild Crab Blue Swimming Crab Meat227 g,$15.99ea,$7.04/ 100g
seafood,,"Tuna, Previously Frozen, Packaged","Tuna, Previously Frozen, Packaged",$10.54(est.)ea,$36.35/ 1kg
seafood,,Fresh Atlantic Smelt,Fresh Atlantic Smelt,$7.27(est.)ea,$22.02/ 1kg
seafood,,Pickerel Fillets,Pickerel Fillets,$21.48(est.)ea,$50.68/ 1kg
seafood,,Monkfish Fillet,Monkfish Fillet,$12.89(est.)ea,$35.25/ 1kg
seafood,,Whitefish Fillet,Whitefish Fillet,$13.02(est.)ea,$33.05/ 1kg
seafood,Waterview Market,Crispy Calamari,Waterview MarketCrispy Calamari300 g,$4.29ea,$1.43/ 100g
seafood,Foppen,Smoked Salmon Slices Flame Roasted ,FoppenSmoked Salmon Slices Flame Roasted 170 g,$12.99ea,$7.64/ 100g
seafood,Ocean Jewel,"Scottish Kippers, Boned    ","Ocean JewelScottish Kippers, Boned    200 g",$4.99ea,$2.50/ 100g
seafood,President's Choice,"Wild Yellowfin Tuna Skinless Boneless Steaks, Sustainably Sourced 280g","President's ChoiceWild Yellowfin Tuna Skinless Boneless Steaks, Sustainably Sourced 280g280 g",$12.99ea,$4.64/ 100g
seafood,PC Organics,Organic Shrimp Ring,PC OrganicsOrganic Shrimp Ring340 g,$24.99ea,$7.35/ 100g
seafood,Paese Mio,Anchovies,Paese MioAnchovies160 g,$7.99ea,$5.33/ 100g
seafood,President's Choice,Salmon & Haddock Fish Cake,President's ChoiceSalmon & Haddock Fish Cake290 g,$7.99ea,$2.76/ 100g
seafood,PC Blue Menu,"Wild Sea Scallops, 100/150","PC Blue MenuWild Sea Scallops, 100/150400 g",$14.99ea,$3.75/ 100g
seafood,Nanuk,Smoked Coho Salmon,NanukSmoked Coho Salmon300 g,$22.99ea,$7.66/ 100g
seafood,,"Lobster Tail, Frozen","Lobster Tail, Frozen95 g",$7.99ea,$8.41/ 100g
seafood,,Fresh Atlantic Salmon Portion Tray Pack,Fresh Atlantic Salmon Portion Tray Pack,$44.07/1 kg,$44.07/ 1kg
seafood,PC Blue Menu,Rainbow Trout Skinless Boneless Fillets,PC Blue MenuRainbow Trout Skinless Boneless Fillets280 g,$12.99ea,$4.64/ 100g
seafood,,"Fresh Tilapia Fillets, Packaged","Fresh Tilapia Fillets, Packaged",$5.07(est.)ea,$25.33/ 1kg
seafood,High Liner,Catch of the Day Sole Fillets,High LinerCatch of the Day Sole Fillets800 g,$14.99ea,$1.87/ 100g
seafood,President's Choice,Sea Salt and Malt Vinegar Haddock Bites,President's ChoiceSea Salt and Malt Vinegar Haddock Bites454 g,$10.99ea,$2.42/ 100g
seafood,Sardo,Marinated Seafood Salad,SardoMarinated Seafood Salad500 ml,$9.99ea,$2.00/ 100ml
seafood,,"Fresh Organic Atlantic Salmon Fillets, Skin On, Packaged","Fresh Organic Atlantic Salmon Fillets, Skin On, Packaged",$17.79(est.)ea,$57.29/ 1kg
seafood,,"Squid, Cleaned and Previously Frozen","Squid, Cleaned and Previously Frozen",$6.52(est.)ea,$22.02/ 1kg
seafood,,"Live Lobster, 1.5-2lbs","Live Lobster, 1.5-2lbs",$35.26(est.)ea,$44.07/ 1kg
seafood,,Cooked Octopus Tentacles ,Cooked Octopus Tentacles 250 g,$17.99ea,$7.20/ 100g
seafood,President's Choice,Raw Zipperback Shrimp Grilling,President's ChoiceRaw Zipperback Shrimp Grilling454 g,$18.99ea,$4.18/ 100g
seafood,Feature Foods,Herring Fillets in Wine Marinade,Feature FoodsHerring Fillets in Wine Marinade600 g,$7.99ea,$1.33/ 100g
seafood,,Tuna Steak Previously Frozen ,Tuna Steak Previously Frozen ,$10.18(est.)ea,$36.35/ 1kg
seafood,,"All-Seasoned Salmon Sausage, Italian","All-Seasoned Salmon Sausage, Italian",$5.73(est.)ea,$22.02/ 1kg
seafood,Premier, Seafood Mix,Premier Seafood Mix340 g,$5.99ea,$1.76/ 100g
seafood,President's Choice,Raw Butterflied Shrimp Garlic & Herb Grilling 12 Pieces Minimum,President's ChoiceRaw Butterflied Shrimp Garlic & Herb Grilling 12 Pieces Minimum340 g,$11.99ea,$3.53/ 100g
seafood,,"Cherrystone Clams, Live","Cherrystone Clams, Live",$15.29(est.)ea,$13.21/ 1kg
seafood,,Calamari With Stuffing,Calamari With Stuffing,$9.75(est.)ea,$22.02/ 1kg
seafood,President's Choice, Atlantic Salmon Burger,President's Choice Atlantic Salmon Burger568 g,$11.99ea,$2.11/ 100g
seafood,Sardo,Herb & Garlic Marinated Mussels ,SardoHerb & Garlic Marinated Mussels 250 ml,$3.99ea,$1.60/ 100g
seafood,Paese Mio,Peppered Anchovies In Sun Flower Oil,Paese MioPeppered Anchovies In Sun Flower Oil314 g,$7.99ea,$2.54/ 100g
seafood,President's Choice,Butter & Lemon Grilling Lobster Tail Skewers,President's ChoiceButter & Lemon Grilling Lobster Tail Skewers200 g,$19.99ea,$10.00/ 100g
seafood,Seaquest,Wild Pollock Fillets,SeaquestWild Pollock Fillets400 g,$7.99ea,$2.00/ 100g
seafood,Bos,Smoked Rainbow Trout Fillet Natural,BosSmoked Rainbow Trout Fillet Natural190 g,$11.99ea,$6.31/ 100g
seafood,,"Littleneck Clams, Live","Littleneck Clams, Live",$16.74(est.)ea,$24.23/ 1kg
seafood,President's Choice,Halibut,President's ChoiceHalibut240 g,$25.99ea,$10.83/ 100g
seafood,True North,Salmon Burger,True NorthSalmon Burger568 g,$12.99ea,$2.29/ 100g
seafood,,Fresh Rainbow Trout Fillet,Fresh Rainbow Trout Fillet,$16.68(est.)ea,$30.84/ 1kg
seafood,Sardo,Select Shrimp Herb & Garlic Marinated ,SardoSelect Shrimp Herb & Garlic Marinated 212 g,$8.99ea,$3.60/ 100ml
seafood,PC Blue Menu,"Wild Sockeye Salmon Sustainably Sourced, Skin-On Boneless Fillets","PC Blue MenuWild Sockeye Salmon Sustainably Sourced, Skin-On Boneless Fillets280 g",$16.99ea,$6.07/ 100g
seafood,President's Choice,Raw Shrimp Skewers Lime & Chili Grilling ,President's ChoiceRaw Shrimp Skewers Lime & Chili Grilling 360 g,$7.99ea,$2.22/ 100g
seafood,,Oysters,Oysters1 ea,$1.99ea,$1.99/ 1ea
seafood,Feature Foods,Herring Fillets in Wine Marinade,Feature FoodsHerring Fillets in Wine Marinade320 g,$5.99ea,$1.87/ 100g
seafood,,"Fresh Atlantic Salmon Fillets, Skin On, Packaged","Fresh Atlantic Salmon Fillets, Skin On, Packaged",$11.95(est.)ea,$34.15/ 1kg
seafood,Nanuk,Smoked Coho Salmon,NanukSmoked Coho Salmon300 g,$22.99ea,$7.66/ 100g
seafood,Sardo,Select Seafood Salad Marinated   ,SardoSelect Seafood Salad Marinated   212 g,$6.99ea,$2.80/ 100ml
seafood,,Haddock Fillet,Haddock Fillet,$22.02/1 kg,$22.02/ 1kg
seafood,President's Choice,"Candied Salmon, Maple Flavour","President's ChoiceCandied Salmon, Maple Flavour150 g",$9.99ea,$6.66/ 100g
seafood,President's Choice,Raw Shrimp,President's ChoiceRaw Shrimp340 g,$11.99ea,$3.53/ 100g
seafood,,Whole B-Liner,Whole B-Liner,$18.81(est.)ea,$28.64/ 1kg
seafood,,Whole Fresh Squid,Whole Fresh Squid,$10.25(est.)ea,$24.23/ 1kg
seafood,,Haddock Fillet,Haddock Fillet,$22.02/1 kg,$22.02/ 1kg
seafood,President's Choice,Black Tiger Shrimp With Mild Cocktail Sauce Gigantico,President's ChoiceBlack Tiger Shrimp With Mild Cocktail Sauce Gigantico568 g,$27.99ea,$4.93/ 100g
seafood,,"Scallops, 20-40, Packaged","Scallops, 20-40, Packaged",$15.32(est.)ea,$55.09/ 1kg
seafood,PC Organics,Organic Atlantic Salmon Fillets,PC OrganicsOrganic Atlantic Salmon Fillets280 g,$19.99ea,$7.14/ 100g
seafood,President's Choice,Beer Battered Shrimp,President's ChoiceBeer Battered Shrimp300 g,$11.99ea,$4.00/ 100g
seafood,,"Oysters, Standard Malpeques (Case)","Oysters, Standard Malpeques (Case)2.271 kg",$25.99c01,$1.14/ 100g
seafood,,"Fresh Atlantic Salmon Fillets, Skin On, Marinated, Packaged","Fresh Atlantic Salmon Fillets, Skin On, Marinated, Packaged",$11.30(est.)ea,$36.36/ 1kg
seafood,,"Atlantic Salmon, Whole","Atlantic Salmon, Whole",$18.50(est.)ea,$24.23/ 1kg
seafood,Anchor Bay,Cooked Clam Meat,Anchor BayCooked Clam Meat340 g,$6.99ea,$2.33/ 100g
seafood,High Liner,Catch of the Day Haddock Fillets 5,High LinerCatch of the Day Haddock Fillets 5580 g,$14.99ea,$2.58/ 100g
seafood,,"Lobster Tail, Frozen","Lobster Tail, Frozen95 g",$7.99ea,$8.41/ 100g
seafood,Fortune Oysters, Live Oysters,Fortune Oysters Live Oysters360 g,$9.99ea,$2.78/ 100g
seafood,Good Catch,Plant Based Fishless Burger,Good CatchPlant Based Fishless Burger227 g,$12.99ea,$5.72/ 100g
seafood,,Crab Cakes,Crab Cakes,$8.41(est.)ea,$28.64/ 1kg
seafood,,Fresh Pickerel,Fresh Pickerel,$14.51(est.)ea,$50.68/ 1kg
seafood,,"Live Lobster, 2lbs or More","Live Lobster, 2lbs or More",$60.91(est.)ea,$48.48/ 1kg
seafood,,Spanish Mackerel,Spanish Mackerel,$11.80(est.)ea,$17.61/ 1kg
seafood,PC Organics,Organics Zipperback Raw Black Tiger Shrimp,PC OrganicsOrganics Zipperback Raw Black Tiger Shrimp300 g,$10.99ea,$3.66/ 100g
seafood,,Steelhead Trout Fillet,Steelhead Trout Fillet,$10.82(est.)ea,$28.64/ 1kg
seafood,,Lake Perch Fillet Tray Pack ,Lake Perch Fillet Tray Pack ,$25.99(est.)ea,$66.12/ 1kg
seafood,,Seabream (Orata),Seabream (Orata),$22.72(est.)ea,$26.43/ 1kg
seafood,,"Pasta Clams, Live","Pasta Clams, Live",$12.69(est.)ea,$19.82/ 1kg
seafood,President's Choice,Atlantic Salmon Strips Hot Smoked Spicy & Candied ,President's ChoiceAtlantic Salmon Strips Hot Smoked Spicy & Candied 150 g,$9.99ea,$6.66/ 100g
seafood,Aquastar,Rainbow Trout Boneless,AquastarRainbow Trout Boneless680 g,$16.99ea,$2.50/ 100g
seafood,President's Choice,Breaded Cod Bites With Sauce,President's ChoiceBreaded Cod Bites With Sauce454 g,$11.99ea,$2.64/ 100g
seafood,Paese Mio,Anchovies,Paese MioAnchovies235 g,$13.99ea,$5.95/ 100g
seafood,,"Fresh Atlantic Salmon Portion, Jerk Flavour, 113G, Packaged","Fresh Atlantic Salmon Portion, Jerk Flavour, 113G, Packaged1 ea",$5.99ea,$5.99/ 1ea
seafood,PC Organics,Organics Peeled Raw Black Tiger Shrimp,PC OrganicsOrganics Peeled Raw Black Tiger Shrimp300 g,$14.99ea,$5.00/ 100g
seafood,PC Organics,Organic Zipperback Shrimp,PC OrganicsOrganic Zipperback Shrimp300 g,$14.99ea,$5.00/ 100g
seafood,Seaquest,Basa Fillets,SeaquestBasa Fillets400 g,$8.99ea,$2.25/ 100g
seafood,,"Lobster Tail, Frozen","Lobster Tail, Frozen125 g",$9.99ea,$8.84/ 100g
seafood,Toppits,Snow Crab Legs & Claw,ToppitsSnow Crab Legs & Claw500 g,$29.99ea,$6.00/ 100g
seafood,,Fresh Scallops 10-20,Fresh Scallops 10-20,$17.24(est.)ea,$74.94/ 1kg
seafood,President's Choice,Black Tiger Shrimp Raw Gigantico,President's ChoiceBlack Tiger Shrimp Raw Gigantico400 g,$15.99ea,$4.00/ 100g
seafood,,"Fresh Atlantic Salmon Fillets, Skin On, Packaged, Club Size","Fresh Atlantic Salmon Fillets, Skin On, Packaged, Club Size",$27.48(est.)ea,$31.95/ 1kg
seafood,,BC Rockfish Fillets,BC Rockfish Fillets,$7.87(est.)ea,$28.64/ 1kg
seafood,Sardo,Select Shrimp Spicy Jalapeño Marinated,SardoSelect Shrimp Spicy Jalapeño Marinated250 ml,$8.99ea,$3.60/ 100ml
seafood,High Liner,Catch of the Day Salmon Fillets,High LinerCatch of the Day Salmon Fillets680 g,$15.99ea,$2.35/ 100g
seafood,President's Choice,Wild Atlantic Cod Fillets ,President's ChoiceWild Atlantic Cod Fillets 280 g,$7.99ea,$2.85/ 100g
seafood,,"Fresh Atlantic Salmon Portion, Maple Flavour Packaged","Fresh Atlantic Salmon Portion, Maple Flavour Packaged1 ea",$5.99ea,$5.99/ 1ea
seafood,President's Choice,Pacific White Shrimp Cooked Peeled Responsibly Farmed Jumbo ,President's ChoicePacific White Shrimp Cooked Peeled Responsibly Farmed Jumbo 400 g,$18.99ea,$4.75/ 100g
seafood,,Sole Fillet,Sole Fillet,$6.32(est.)ea,$30.84/ 1kg
seafood,Paese Mio,Anchovies,Paese MioAnchovies80 g,$4.49ea,$5.99/ 100g
seafood,DOM,Organics Live Mussels,DOMOrganics Live Mussels907 g,$6.99ea,$0.77/ 100g
seafood,President's Choice,Everything Seasoned Smoked Steelhead Salmon,President's ChoiceEverything Seasoned Smoked Steelhead Salmon150 g,$11.99ea,$7.99/ 100g
seafood,,Lucky Lime Oysters,Lucky Lime Oysters1 ea,$1.99ea,$1.99/ 1ea
seafood,,Stuffed Fresh Sole,Stuffed Fresh Sole,$12.36(est.)ea,$22.02/ 1kg
seafood,,"European Sea Bass, Whole","European Sea Bass, Whole",$21.50(est.)ea,$28.64/ 1kg
seafood,Chelsea,"Boned Cod Fillets, Salted","ChelseaBoned Cod Fillets, Salted454 g",$12.99ea,$2.86/ 100g
seafood,,Stuffed Tilapia,Stuffed Tilapia,$20.65(est.)ea,$35.25/ 1kg
seafood,President's Choice,Raw Shrimp Skewers Orange Miso Grilling ,President's ChoiceRaw Shrimp Skewers Orange Miso Grilling 360 g,$7.99ea,$2.22/ 100g
seafood,President's Choice,Gluten Free Breaded Shrimp,President's ChoiceGluten Free Breaded Shrimp340 g,$10.99ea,$3.23/ 100g
seafood,PC Blue Menu,Atlantic Salmon Skinless Boneless Fillets,PC Blue MenuAtlantic Salmon Skinless Boneless Fillets280 g,$14.99ea,$5.35/ 100g
seafood,,Atlantic Perch Fillets,Atlantic Perch Fillets,$7.32(est.)ea,$30.84/ 1kg
seafood,,"Fresh Atlantic Salmon Portion, Herb and Garlic Flavour, Packaged","Fresh Atlantic Salmon Portion, Herb and Garlic Flavour, Packaged1 ea",$5.99ea,$5.99/ 1ea
seafood,Unico,Fillets of Anchovies,UnicoFillets of Anchovies50 g,$2.49ea,$4.98/ 100g
seafood,President's Choice,Wild Atlantic Cold Water Shrimp Cooked Peeled ,President's ChoiceWild Atlantic Cold Water Shrimp Cooked Peeled 340 g,$13.99ea,$4.11/ 100g
seafood,Seaquest,Crab Leg Style,SeaquestCrab Leg Style454 g,$5.99ea,$1.32/ 100g
seafood,,Canadian Snow Crab,Canadian Snow Crab,$24.82(est.)ea,$55.09/ 1kg
seafood,President's Choice,Smoked Atlantic Salmon,President's ChoiceSmoked Atlantic Salmon150 g,$11.99ea,$7.99/ 100g
