product_name,price
"VACHON SNACK CAKES, 252-336 g or PC® CINNAMON RAISIN BREAD, 675 g",2/$6.00 OR LESS THAN 2 3.49 EA
"BLACK DIAMOND CHEESTRINGS, 16's or STICKS 12's",$5.79 
"OASIS JUICE or ARIZONA ICED TEA DRINK BOXES, 8x200 mL",2/$6.00 OR LESS THAN 2 3.29 EA
"DARE CRACKERS, 100-250 g",$2.00 
"PC® THE DECADENT® COOKIE, 280/300 g",2/$4.88 OR LESS THAN 2 2.79 EA
"NESTLÉ or M2GO MILKSHAKES, 473 mL",$1.00 
"NEILSON CREAM 5%, 10%, 1 L or 18%, 35%, 473 mL",$2.69 
"ARMSTRONG BARS, 400 g or SHREDDED CHEESE, 320 g",$4.99 
"SAPUTO MOZZARELLISSIMA, 500 g",$5.99 
"HELUVA GOOD! DIPS, 250 g",$2.29 
"MCCAIN SUPERFRIES or SPECIALTY FRIES, 454-750 g",$2.99 
"HUNGRY-MAN ENTRÉES, 360-455 g or HEALTHY CHOICE GOURMET STEAMERS, 283-301 g",$3.29 
"FRUITOPIA, NESTEA or PEACE TEA BEVERAGES, 1.75 L",$1.99 
"TETLEY TEA, 80/144's",$5.99 
"SUNNYD, 1.89 L or KOOL-AID JAMMERS, 10x180 mL",2/$5.00 OR LESS THAN 2 2.79 EA.
"CHRISTIE COOKIES, 223-350 g",$2.29 
"QUAKER INSTANT OATMEAL, 232-344 g",$3.49 
"STAGG CHILI, 425 g",$2.29 
"GOGO SQUEEZ FRUIT SNACK POUCHES, 4's",$2.49 
"KITKAT or NESTLÉ ADVENT CALENDAR, 210/270 g",$8.99 
"NO NAME® FACIAL TISSUE, 6x126 sheets",$4.99 
"COCA-COLA, CANADA DRY or PEPSI SOFT DRINKS, 2 L",2/$3.00 OR LESS THAN 2 1.99 EA
PC® COFFEE PODS 12's or ESPRESSO 250 g,$4.99 
"GENERAL MILLS FAMILY SIZE CEREAL, 475-778 g",$4.99 
"GENERAL MILLS CEREAL, 300-437 g",$3.33 
"YOPLAIT YOP DRINKABLE YOGURT, 200 mL",$.89 
"YOPLAIT TUBES 8's, MINIGO 6's, SOURCE 630 g or LIBERTÉ CLASSIQUE YOGURT, 650 g",$2.49 
"ANNIE'S MACARONI & CHEESE, 170 g",$2.29 
"FIBRE 1 or or NATURE VALLEY SWEET & SALTY BARS, 125-210 g",$2.99 
"PEPSI SOFT DRINKS, 8/12x355 mL",$5.99 
"PEPSI SOFT DRINKS, 6x222 mL",2/$7.00 OR LESS THAN 2 3.99 EA.
"EVIAN NATURAL SPRING WATER, 1.5 L or ROCKSTAR ENERGY DRINKS, 473 mL",2/$4.98 OR LESS THAN 2 2.79 EA.
"BUBLY, 12x355 mL or MONTELLIER, 10x355 mL SPARKLING WATER",$4.99 
"DELISSIO RISING CRUST, PIZZERIA or GARLIC BREAD PIZZA, 499-888 g",$5.99 
"DELISSIO STUFFED CRUST or PAN, 556-744 g or CROISSANT PIZZA, 667-691 g",$6.99 
"SUNLIGHT LIQUID DISH WASHING DETERGENT, 800 mL",$2.29 
"PERSIL LIQUID, 2.21 L OR DISCS 40's LAUNDRY DETERGENT r SNUGGLE SOFTENER, 2.8-3.41 L or SHEETS, 200's",$9.99 
"PUREX LIQUID LAUNDRY DETERGENT, 4.08-4.43 L",$9.99 
"PC® STEMLESS WINE GLASSES, 4's",$9.99 
LIFE AT HOME™ 3-WICK 14 oz WINTER CANDLES,$12.00 
"PAMPERS ECONO PACK DIAPERS, 72-180's",$29.99 
"GERBER INFANT SNACKS or ENTRÉES, 42-192 g",$2.49 
"ENFAGROW A+ TODDLER NUTRITIONAL SUPPLEMENT, 907 g",$25.97 
"JOHNSON'S BABY NEEDS, 295-600 mL",$4.99 
"ADVIL TABLETS, CAPLETS, CAPSULES or LIQUI-GELS, 40-150's",$10.99 
"PC® COTTON SWABS, 500's",$2.00 
"IRISH SPRING or SOFTSOAP BODY WASH, 591 mL",$3.99 
"IRISH SPRING BAR SOAP, 3x104 g",$2.99 
"FINESSE HAIR CARE, 150 g/300 mL",$2.00 
JERGENS 620 mL or LUBRIDERM 480 mL HAND AND BODY LOTION,$6.99 
"SOFTSOAP LIQUID HAND SOAP REFILL, 1.47 L",$4.99 
"ALWAYS PADS or LINERS, 20-162's, TAMPAX TAMPONS, 28-54's or L. BRAND PADS or TAMPONS, 30-42's",$8.29 
"CREST 3DWHITE or GUM TOOTHPASTE, 63-115 mL",$3.99 
"PC® ORGANICS BABY FOOD POUCHES, 128 mL",$1.00 
"PC® BABY FOOD TUBS, 2's",$2.00 
"LIFE BRAND® MOUTHWASH, 1 L",$4.00 
"BABY DIAPERS, WIPES, FORMULA, FOOD, NEEDS OR ACCESSORIES",$4.00 
KEURIG MILK FROTHER,$44.99 
BLACK & DECKER 4 SLICE AIR FRY TOASTER OVEN,$54.99 
T-FAL ESSENTIAL 4 PIECE NON STICK COOKWARE SET,$34.99 
"ENERGIZER MAX BATTERIES, AA20/AAA12",$7.99 †
"BRITA FILTERS, pkg of 5",$29.99 
12 INCH WOK WITH WOOD HANDLE,$10.00 
"T&T® CASHEWS, 800 g",$15.49 
"KRITI GOLD EXTRA VIRGIN OLIVE OIL, 750 mL or S&F ROASTED RED PEPPERS, 1.5 L",$6.99 each
"BILLY BEE HONEY, 1 kg",$9.79 
"RUBICON JUICES, 200 mL/1 L",$1.99 
"MEGA SARDINES, 155 g",$.89 
"GRACE JERK SEASONING, 312 g or JERK MARINADE, 350 mL",$3.29 
"DELCATO JAPANESE CHEESECAKE, 300 g",$6.99 
LOTTE MOCHI 270 g or O'TASTY DUMPLINGS 567 g,$4.99 
"CRISPY POUND CAKE, 368 g",$2.79 
"CRISPY ROTI, 15's",$3.49 
"SUFRA® HALAL CHICKEN DRUMSTICKS or THIGHS, up to 1.575 kg",$12.00 
GOLDEN POMPANO FISH,$3.00 LB
PAPAYA OR OPO SQUASH,$1.29 LB
CARIBBEAN SWEET POTATOES,$1.29 LB
"OKRA or OKRA BHINDI OR RAPINI, each",$2.99 EA/LB
